issue_id,title_ru,title_translit,town_uk,raion_or_area,holding,issue_date,pages,source_url
571,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-10-18,10,https://luganmedia.ru/wp-content/uploads/2024/10/%D0%9E%D0%B3%D0%BD%D0%B8_%E2%84%9641_%D1%81%D0%BA%D0%BB%D0%B5%D0%B9%D0%BA%D0%B0.pdf
526,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-10-25,15,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%9E%D0%93%D0%9D%D0%98-42.pdf
527,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-11-01,15,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%9E%D0%93%D0%9D%D0%98-43.pdf
568,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-11-08,15,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%9644-74.pdf
558,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-11-15,15,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%9645-75.pdf
572,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-11-22,16,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%9E%D0%B3%D0%BD%D0%B8_%E2%84%9646.pdf
573,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-11-29,15,https://luganmedia.ru/wp-content/uploads/2024/12/%D0%9E%D0%B3%D0%BD%D0%B8_%E2%84%9647-77.pdf
563,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-12-06,15,https://luganmedia.ru/wp-content/uploads/2024/12/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%96-48-78.pdf
569,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-12-13,15,https://luganmedia.ru/wp-content/uploads/2024/12/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%9649-79.pdf
564,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-12-20,15,https://luganmedia.ru/wp-content/uploads/2024/12/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%96-50-80.pdf
565,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-12-27,15,https://luganmedia.ru/wp-content/uploads/2025/01/%D0%9E%D0%B3%D0%BD%D0%B8-%E2%84%96-51-81.pdf
559,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-01-01,15,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%968-89.pdf
539,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-01-17,15,https://luganmedia.ru/wp-content/uploads/2025/01/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-182.pdf
557,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-01-24,15,https://luganmedia.ru/wp-content/uploads/2025/02/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%962-83.pdf
548,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-01-31,15,https://luganmedia.ru/wp-content/uploads/2025/02/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-3-84.pdf
554,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-02-07,15,https://luganmedia.ru/wp-content/uploads/2025/02/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-4-85.pdf
555,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-02-14,15,https://luganmedia.ru/wp-content/uploads/2025/02/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%96-5-86.pdf
574,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-02-28,15,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%9E%D0%B3%D0%BD%D0%B8_%E2%84%96788.pdf
560,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2025-03-14,15,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%9E%D0%93%D0%9D%D0%98-%E2%84%969-90.pdf
